Read the parameters into your program so you an refer to them by state,,,,,,,,,
,,,,,Cost Parameters,,,,
ExpenseName,stateAbbrev,stateFIPS,famsize,yearofdata,expense.healthcare.employer,,,,
expense.healthcare.employer,TN,47,2,2019,766,,,,
expense.healthcare.employer,AR,5,2,2019,702,,,,
expense.healthcare.employer,LA,22,2,2019,693,,,,
expense.healthcare.employer,OK,40,2,2019,759,,,,
expense.healthcare.employer,TX,48,2,2019,836,,,,
expense.healthcare.employer,AZ,4,2,2019,769,,,,
expense.healthcare.employer,CO,8,2,2019,809,,,,
expense.healthcare.employer,ID,16,2,2019,688,,,,
expense.healthcare.employer,MT,30,2,2019,836,,,,
expense.healthcare.employer,NV,32,2,2019,711,,,,
expense.healthcare.employer,NM,35,2,2019,792,,,,
expense.healthcare.employer,UT,49,2,2019,712,,,,
expense.healthcare.employer,WY,56,2,2019,846,,,,
expense.healthcare.employer,AK,2,2,2019,"1,101",,,,
expense.healthcare.employer,CA,6,2,2019,831,,,,
expense.healthcare.employer,HI,15,2,2019,773,,,,
expense.healthcare.employer,OR,41,2,2019,830,,,,
expense.healthcare.employer,WA,53,2,2019,929,,,,
expense.healthcare.employer,CT,9,3,2019,"1,780",,,,
expense.healthcare.employer,ME,23,3,2019,"1,728",,,,
expense.healthcare.employer,MA,25,3,2019,"1,785",,,,
expense.healthcare.employer,NH,33,3,2019,"1,673",,,,
expense.healthcare.employer,RI,44,3,2019,"1,707",,,,
expense.healthcare.employer,VT,50,3,2019,"1,785",,,,
expense.healthcare.employer,NJ,34,3,2019,"1,838",,,,
expense.healthcare.employer,NY,36,3,2019,"1,906",,,,
expense.healthcare.employer,PA,42,3,2019,"1,723",,,,
expense.healthcare.employer,IL,17,3,2019,"1,722",,,,
expense.healthcare.employer,IN,18,3,2019,"1,764",,,,
expense.healthcare.employer,MI,26,3,2019,"1,702",,,,
expense.healthcare.employer,OH,39,3,2019,"1,635",,,,
expense.healthcare.employer,WI,55,3,2019,"1,695",,,,
expense.healthcare.employer,IA,19,3,2019,"1,563",,,,
expense.healthcare.employer,KS,20,3,2019,"1,572",,,,
expense.healthcare.employer,MN,27,3,2019,"1,729",,,,
expense.healthcare.employer,MO,29,3,2019,"1,658",,,,
expense.healthcare.employer,NE,31,3,2019,"1,617",,,,
expense.healthcare.employer,ND,38,3,2019,"1,533",,,,
expense.healthcare.employer,SD,46,3,2019,"1,689",,,,
expense.healthcare.employer,DE,10,3,2019,"1,719",,,,
expense.healthcare.employer,DC,11,3,2019,"1,859",,,,
expense.healthcare.employer,FL,12,3,2019,"1,726",,,,
expense.healthcare.employer,GA,13,3,2019,"1,643",,,,
expense.healthcare.employer,MD,24,3,2019,"1,690",,,,
expense.healthcare.employer,NC,37,3,2019,"1,666",,,,
expense.healthcare.employer,SC,45,3,2019,"1,748",,,,
expense.healthcare.employer,VA,51,3,2019,"1,655",,,,
expense.healthcare.employer,WV,54,3,2019,"1,700",,,,
expense.healthcare.employer,AL,1,3,2019,"1,478",,,,
expense.healthcare.employer,KY,21,3,2019,"1,718",,,,
expense.healthcare.employer,MS,28,3,2019,"1,488",,,,
expense.healthcare.employer,TN,47,3,2019,"1,562",,,,
expense.healthcare.employer,AR,5,3,2019,"1,481",,,,
expense.healthcare.employer,LA,22,3,2019,"1,586",,,,
expense.healthcare.employer,OK,40,3,2019,"1,652",,,,
expense.healthcare.employer,TX,48,3,2019,"1,747",,,,
expense.healthcare.employer,AZ,4,3,2019,"1,664",,,,
expense.healthcare.employer,CO,8,3,2019,"1,681",,,,
expense.healthcare.employer,ID,16,3,2019,"1,605",,,,
expense.healthcare.employer,MT,30,3,2019,"1,683",,,,
expense.healthcare.employer,NV,32,3,2019,"1,560",,,,
expense.healthcare.employer,NM,35,3,2019,"1,599",,,,
expense.healthcare.employer,UT,49,3,2019,"1,556",,,,
expense.healthcare.employer,WY,56,3,2019,"1,660",,,,
expense.healthcare.employer,AK,2,3,2019,"1,914",,,,
expense.healthcare.employer,CA,6,3,2019,"1,732",,,,
expense.healthcare.employer,HI,15,3,2019,"1,604",,,,
expense.healthcare.employer,OR,41,3,2019,"1,617",,,,
expense.healthcare.employer,WA,53,3,2019,"1,669",,,,
expense.healthcare.employer,CT,9,4,2019,"1,780",,,,
expense.healthcare.employer,ME,23,4,2019,"1,728",,,,
expense.healthcare.employer,MA,25,4,2019,"1,785",,,,
expense.healthcare.employer,NH,33,4,2019,"1,673",,,,
expense.healthcare.employer,RI,44,4,2019,"1,707",,,,
expense.healthcare.employer,VT,50,4,2019,"1,785",,,,
expense.healthcare.employer,NJ,34,4,2019,"1,838",,,,
expense.healthcare.employer,NY,36,4,2019,"1,906",,,,
expense.healthcare.employer,PA,42,4,2019,"1,723",,,,
expense.healthcare.employer,IL,17,4,2019,"1,722",,,,
expense.healthcare.employer,IN,18,4,2019,"1,764",,,,
expense.healthcare.employer,MI,26,4,2019,"1,702",,,,
expense.healthcare.employer,OH,39,4,2019,"1,635",,,,
expense.healthcare.employer,WI,55,4,2019,"1,695",,,,
expense.healthcare.employer,IA,19,4,2019,"1,563",,,,
expense.healthcare.employer,KS,20,4,2019,"1,572",,,,
expense.healthcare.employer,MN,27,4,2019,"1,729",,,,
expense.healthcare.employer,MO,29,4,2019,"1,658",,,,
expense.healthcare.employer,NE,31,4,2019,"1,617",,,,
expense.healthcare.employer,ND,38,4,2019,"1,533",,,,
expense.healthcare.employer,SD,46,4,2019,"1,689",,,,
expense.healthcare.employer,DE,10,4,2019,"1,719",,,,
expense.healthcare.employer,DC,11,4,2019,"1,859",,,,
expense.healthcare.employer,FL,12,4,2019,"1,726",,,,
expense.healthcare.employer,GA,13,4,2019,"1,643",,,,
expense.healthcare.employer,MD,24,4,2019,"1,690",,,,
expense.healthcare.employer,NC,37,4,2019,"1,666",,,,
expense.healthcare.employer,SC,45,4,2019,"1,748",,,,
expense.healthcare.employer,VA,51,4,2019,"1,655",,,,
expense.healthcare.employer,WV,54,4,2019,"1,700",,,,
expense.healthcare.employer,AL,1,4,2019,"1,478",,,,
expense.healthcare.employer,KY,21,4,2019,"1,718",,,,
expense.healthcare.employer,MS,28,4,2019,"1,488",,,,
expense.healthcare.employer,TN,47,4,2019,"1,562",,,,
expense.healthcare.employer,AR,5,4,2019,"1,481",,,,
expense.healthcare.employer,LA,22,4,2019,"1,586",,,,
expense.healthcare.employer,OK,40,4,2019,"1,652",,,,
expense.healthcare.employer,TX,48,4,2019,"1,747",,,,
expense.healthcare.employer,AZ,4,4,2019,"1,664",,,,
expense.healthcare.employer,CO,8,4,2019,"1,681",,,,
expense.healthcare.employer,ID,16,4,2019,"1,605",,,,
expense.healthcare.employer,MT,30,4,2019,"1,683",,,,
expense.healthcare.employer,NV,32,4,2019,"1,560",,,,
expense.healthcare.employer,NM,35,4,2019,"1,599",,,,
expense.healthcare.employer,UT,49,4,2019,"1,556",,,,
expense.healthcare.employer,WY,56,4,2019,"1,660",,,,
expense.healthcare.employer,AK,2,4,2019,"1,914",,,,
expense.healthcare.employer,CA,6,4,2019,"1,732",,,,
expense.healthcare.employer,HI,15,4,2019,"1,604",,,,
expense.healthcare.employer,OR,41,4,2019,"1,617",,,,
expense.healthcare.employer,WA,53,4,2019,"1,669",,,,
expense.healthcare.employer,CT,9,5,2019,"1,780",,,,
expense.healthcare.employer,ME,23,5,2019,"1,728",,,,
expense.healthcare.employer,MA,25,5,2019,"1,785",,,,
expense.healthcare.employer,NH,33,5,2019,"1,673",,,,
expense.healthcare.employer,RI,44,5,2019,"1,707",,,,
expense.healthcare.employer,VT,50,5,2019,"1,785",,,,
expense.healthcare.employer,NJ,34,5,2019,"1,838",,,,
expense.healthcare.employer,NY,36,5,2019,"1,906",,,,
expense.healthcare.employer,PA,42,5,2019,"1,723",,,,
expense.healthcare.employer,IL,17,5,2019,"1,722",,,,
expense.healthcare.employer,IN,18,5,2019,"1,764",,,,
expense.healthcare.employer,MI,26,5,2019,"1,702",,,,
expense.healthcare.employer,OH,39,5,2019,"1,635",,,,
expense.healthcare.employer,WI,55,5,2019,"1,695",,,,
expense.healthcare.employer,IA,19,5,2019,"1,563",,,,
expense.healthcare.employer,KS,20,5,2019,"1,572",,,,
expense.healthcare.employer,MN,27,5,2019,"1,729",,,,
expense.healthcare.employer,MO,29,5,2019,"1,658",,,,
expense.healthcare.employer,NE,31,5,2019,"1,617",,,,
expense.healthcare.employer,ND,38,5,2019,"1,533",,,,
expense.healthcare.employer,SD,46,5,2019,"1,689",,,,
expense.healthcare.employer,DE,10,5,2019,"1,719",,,,
expense.healthcare.employer,DC,11,5,2019,"1,859",,,,
expense.healthcare.employer,FL,12,5,2019,"1,726",,,,
expense.healthcare.employer,GA,13,5,2019,"1,643",,,,
expense.healthcare.employer,MD,24,5,2019,"1,690",,,,
expense.healthcare.employer,NC,37,5,2019,"1,666",,,,
expense.healthcare.employer,SC,45,5,2019,"1,748",,,,
expense.healthcare.employer,VA,51,5,2019,"1,655",,,,
expense.healthcare.employer,WV,54,5,2019,"1,700",,,,
expense.healthcare.employer,AL,1,5,2019,"1,478",,,,
expense.healthcare.employer,KY,21,5,2019,"1,718",,,,
expense.healthcare.employer,MS,28,5,2019,"1,488",,,,
expense.healthcare.employer,TN,47,5,2019,"1,562",,,,
expense.healthcare.employer,AR,5,5,2019,"1,481",,,,
expense.healthcare.employer,LA,22,5,2019,"1,586",,,,
expense.healthcare.employer,OK,40,5,2019,"1,652",,,,
expense.healthcare.employer,TX,48,5,2019,"1,747",,,,
expense.healthcare.employer,AZ,4,5,2019,"1,664",,,,
expense.healthcare.employer,CO,8,5,2019,"1,681",,,,
expense.healthcare.employer,ID,16,5,2019,"1,605",,,,
expense.healthcare.employer,MT,30,5,2019,"1,683",,,,
expense.healthcare.employer,NV,32,5,2019,"1,560",,,,
expense.healthcare.employer,NM,35,5,2019,"1,599",,,,
expense.healthcare.employer,UT,49,5,2019,"1,556",,,,
expense.healthcare.employer,WY,56,5,2019,"1,660",,,,
expense.healthcare.employer,AK,2,5,2019,"1,914",,,,
expense.healthcare.employer,CA,6,5,2019,"1,732",,,,
expense.healthcare.employer,HI,15,5,2019,"1,604",,,,
expense.healthcare.employer,OR,41,5,2019,"1,617",,,,
expense.healthcare.employer,WA,53,5,2019,"1,669",,,,
expense.healthcare.employer,CT,9,6,2019,"1,780",,,,
expense.healthcare.employer,ME,23,6,2019,"1,728",,,,
expense.healthcare.employer,MA,25,6,2019,"1,785",,,,
expense.healthcare.employer,NH,33,6,2019,"1,673",,,,
